Set,Run #1,Run #1,Run #1,Run #1,Run #1
Internal Pressure P1 (kPa),Time (s),Internal Pressure P0 (kPa),Ambient Pressure (kPa),Differential Pressure₁₋₂ (kPa),Calc1 (units)
104.23,66.800,115.71,100.43,15.28,115.71
103.78,474.000,114.71,100.44,14.27,114.71
103.62,925.600,113.08,100.45,12.63,113.08
104.18,1667.400,115.36,100.47,14.90,115.36
103.50,2121.400,112.23,100.47,11.75,112.23
103.38,2607.000,111.89,100.50,11.39,111.89
103.34,3703.200,112.15,100.52,11.63,112.15
103.34,4462.900,110.98,100.52,10.45,110.98
102.78,4808.900,109.10,100.53,8.58,109.10
102.27,5336.200,106.85,100.54,6.31,106.85
102.38,6015.400,107.22,100.56,6.66,107.22
