Set,Run #1,Run #1,Run #1,Run #1,Run #1
Internal Pressure P1 (kPa),Time (s),Internal Pressure P0 (kPa),Ambient Pressure (kPa),Differential Pressure₁₋₂ (kPa),Calc1 (units)
104.67,139.600,112.52,100.71,11.80,112.52
105.60,325.000,115.33,100.73,14.61,115.33
105.30,574.400,114.41,100.73,13.67,114.41
104.19,851.100,110.93,100.74,10.19,110.93
105.34,1028.100,116.07,100.74,15.33,116.07
103.11,1261.200,108.38,100.74,7.63,108.38
103.09,1420.000,107.18,100.74,6.44,107.18
102.58,1583.400,106.49,100.74,5.75,106.49
106.29,1762.400,118.53,100.75,17.78,118.53
106.06,1995.000,117.37,100.76,16.62,117.37
