Set,Run #1,Run #1,Run #1,Run #1,Run #1
Internal Pressure P1 (kPa),Time (s),Internal Pressure P0 (kPa),Ambient Pressure (kPa),Differential Pressure₁₋₂ (kPa),Calc1 (units)
,0,100.3,99.9,0.4,100.3
,0.2,100.3,99.9,0.4,100.3
,0.4,100.31,99.9,0.41,100.31
,0.6,100.31,99.9,0.41,100.31
,0.8,100.32,99.9,0.42,100.32
,1,100.32,99.9,0.43,100.32
,1.2,100.33,99.9,0.43,100.33
,1.4,100.34,99.9,0.44,100.34
,1.6,100.34,99.9,0.44,100.34
,1.8,100.35,99.9,0.45,100.35
,2,100.36,99.9,0.46,100.36
,2.2,100.36,99.9,0.46,100.36
,2.4,100.36,99.9,0.47,100.36
,2.6,100.37,99.9,0.47,100.37
,2.8,101.35,99.9,1.45,101.35
,3,102.46,99.9,2.57,102.46
,3.2,103.93,99.9,4.04,103.93
,3.4,105.03,99.9,5.13,105.03
,3.6,106.47,99.9,6.58,106.47
,3.8,107.91,99.9,8.01,107.91
,4,108.98,99.9,9.08,108.98
,4.2,110.39,99.9,10.49,110.39
,4.4,111.45,99.9,11.55,111.45
,4.6,112.84,99.9,12.94,112.84
,4.8,114.23,99.9,14.33,114.23
,5,115.26,99.9,15.36,115.26
,5.2,116.62,99.9,16.73,116.62
,5.4,117.64,99.9,17.74,117.64
,5.6,118.72,99.9,18.82,118.72
,5.8,118.75,99.9,18.85,118.75
,6,118.67,99.9,18.77,118.67
,6.2,118.57,99.9,18.67,118.57
,6.4,118.49,99.9,18.6,118.49
,6.6,118.4,99.9,18.5,118.4
,6.8,118.3,99.9,18.41,118.3
,7,118.23,99.9,18.34,118.23
,7.2,118.14,99.9,18.24,118.14
,7.4,118.07,99.9,18.17,118.07
,7.6,117.98,99.9,18.08,117.98
,7.8,117.91,99.9,18.01,117.91
,8,117.82,99.9,17.92,117.82
,8.2,117.73,99.9,17.84,117.73
,8.4,117.67,99.9,17.78,117.67
,8.6,117.59,99.9,17.7,117.59
,8.8,117.54,99.9,17.64,117.54
,9,117.46,99.9,17.56,117.46
,9.2,117.39,99.9,17.49,117.39
,9.4,117.34,99.9,17.44,117.34
,9.6,117.27,99.9,17.37,117.27
,9.8,117.22,99.9,17.32,117.22
,10,117.16,99.9,17.26,117.16
,10.2,117.09,99.9,17.19,117.09
,10.4,117.04,99.9,17.14,117.04
,10.6,116.98,99.9,17.09,116.98
,10.8,116.94,99.9,17.04,116.94
,11,116.89,99.9,16.99,116.89
,11.2,116.83,99.9,16.93,116.83
,11.4,116.79,99.9,16.89,116.79
,11.6,116.74,99.9,16.84,116.74
,11.8,116.7,99.9,16.8,116.7
,12,116.65,99.9,16.75,116.65
,12.2,116.6,99.9,16.7,116.6
