Set,Run #1,Run #1,Run #1,Run #1,Run #1
Internal Pressure P1 (kPa),Time (s),Internal Pressure P0 (kPa),Ambient Pressure (kPa),Differential Pressure₁₋₂ (kPa),Calc1 (units)
103.48,64.800,111.36,100.61,10.75,111.36
104.43,223.900,116.27,100.61,15.66,116.27
104.63,406.800,117.44,100.61,16.83,117.44
103.90,573.800,113.87,100.61,13.26,113.87
103.79,760.300,113.40,100.62,12.77,113.40
103.05,940.400,110.14,100.63,9.51,110.14
102.62,1112.700,108.83,100.64,8.19,108.83
102.68,1304.000,109.07,100.64,8.43,109.07
102.28,1508.200,106.88,100.64,6.24,106.88
104.11,1712.800,114.84,100.67,14.17,114.84
