Set,Set,Set,Set,Set,Set,Set,Run #1,Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #3,Run #4,Run #4,Run #4,Run #4,Run #5,Run #5,Run #5,Run #5,Run #6,Run #6,Run #6,Run #6,Run #7,Run #7,Run #7,Run #7,Run #8,Run #8,Run #8,Run #8,Run #9,Run #9,Run #9,Run #9,Run #10,Run #10,Run #10,Run #10
P0  (kPa),Mass (Kg),error on mass (Kg),Diameter (cm),error on diameter (cm),volume (m^3),error on volume (m^3),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²)
101.6,0.017622,1.00E-06,1.6,0.002,0.0093008,8.00E-06,0,0.66,,,0,0.67,,,0,0.66,,,0,0.69,,,0,0.71,,,0,0.71,,,0,0.69,,,0,0.71,,,0,0.7,,,0,0.71,,
,,,,,,,0.01,0.66,-0.01,,0.01,0.67,0,,0.01,0.66,0,,0.01,0.69,0.01,,0.01,0.71,-0.01,,0.01,0.71,-0.02,,0.01,0.69,0,,0.01,0.71,-0.03,,0.01,0.7,0.01,,0.01,0.71,0,
,,,,,,,0.02,0.66,0,1.03,0.02,0.67,0.01,0.6,0.02,0.66,0.01,0.59,0.02,0.69,0.01,-0.52,0.02,0.71,0.01,0.61,0.02,0.71,0,1.04,0.02,0.69,0.01,0.6,0.02,0.71,-0.01,1.47,0.02,0.7,0.01,5.55E-13,0.02,0.71,0,0
,,,,,,,0.03,0.66,0.01,0.08,0.03,0.67,0.01,-0.43,0.03,0.66,0.01,-0.51,0.03,0.69,0,-0.09,0.03,0.71,0,-0.52,0.03,0.71,0,0,0.03,0.69,0.01,-0.43,0.03,0.71,0,0.52,0.03,0.7,0.01,-5.55E-13,0.03,0.71,0,0
,,,,,,,0.04,0.66,0,-0.51,0.04,0.67,0,-0.51,0.04,0.66,0,-0.08,0.04,0.69,0.01,0.6,0.04,0.71,0,0,0.04,0.71,0,0,0.04,0.69,0,-0.52,0.04,0.71,0,0,0.04,0.7,0.01,0.09,0.04,0.71,0,0
,,,,,,,0.05,0.66,0,0,0.05,0.67,0,-0.08,0.05,0.66,0.01,0.59,0.05,0.69,0.01,-0.43,0.05,0.71,0,0,0.05,0.71,0,0,0.05,0.69,0,0,0.05,0.71,0,0,0.05,0.7,0.01,-0.43,0.05,0.71,0,0
,,,,,,,0.06,0.66,0,0,0.06,0.67,0,0.51,0.06,0.66,0.01,-0.43,0.06,0.69,0,-0.52,0.06,0.71,0,0,0.06,0.71,0,0,0.06,0.69,0,0,0.06,0.71,0,0,0.06,0.7,0,-0.52,0.06,0.71,0,0
,,,,,,,0.07,0.66,0,0,0.07,0.67,0.01,0.08,0.07,0.66,0,-0.51,0.07,0.69,0,0,0.07,0.71,0,0,0.07,0.71,0,0,0.07,0.69,0,0,0.07,0.71,0,0,0.07,0.7,0,0,0.07,0.71,0,0
,,,,,,,0.08,0.66,0,0,0.08,0.67,0,-0.6,0.08,0.66,0,0,0.08,0.69,0,0,0.08,0.71,0,0,0.08,0.71,0,0,0.08,0.69,0,0,0.08,0.71,0,0,0.08,0.7,0,-0.09,0.08,0.71,0,0
